"Name","X","Y"
"Bran Stark",98.258255,256.15952
"Robb Stark",-531.86163,2.475929
"Jon Snow",378.83752,346.34412
"Eddard Stark",-266.80542,-45.74
"Theon Greyjoy",-463.9631,240.3919
"Rodrik Cassel",-305.7275,445.0114
"Catelyn Stark",-63.822136,501.1309
"Arya Stark",-179.93686,211.66678
"Sansa Stark",-456.5791,-244.35127
"Luwin",185.19469,513.29114
"Robert I Baratheon",-94.95374,-259.303
"Pycelle",-58.160164,-533.80396
"Cersei Lannister",273.041,39.603924
"Jaime Lannister",516.20953,135.06097
"Sandor Clegane",-300.57117,-433.50894
"Tyrion Lannister",1.1907808,2.0970778
"Joffrey Baratheon",172.8062,-211.38287
"Petyr Baelish",184.76553,-487.55637
"Varys",404.32584,-353.02014
"Bronn",507.7529,-124.56925
